time,x,y,z
0.000000,-0.010727,-0.019882,-1.027832
0.100000,-0.003113,-0.020981,-0.996796
0.200000,-0.001892,-0.022903,-0.995789
0.300000,-0.002716,-0.022995,-0.999176
0.400000,-0.001831,-0.022552,-0.997864
0.500000,-0.001495,-0.023575,-0.999420
0.600000,-0.003723,-0.022873,-1.001816
0.700000,-0.004303,-0.024673,-1.000092
0.800000,-0.002487,-0.023834,-0.996750
0.900000,-0.002228,-0.024994,-1.000534
1.000000,-0.003616,-0.022202,-0.998672
1.100000,-0.001694,-0.023209,-0.999725
1.200000,-0.000366,-0.024323,-0.999786
1.299000,-0.003174,-0.022614,-0.998306
1.399000,-0.001953,-0.021713,-0.999680
1.499000,-0.003372,-0.023102,-0.998535
1.599000,-0.003265,-0.023819,-0.998001
1.699000,-0.002823,-0.023300,-1.002930
1.799000,-0.000839,-0.023788,-0.998642
1.899000,-0.004272,-0.022919,-0.996429
1.999000,-0.004318,-0.022903,-1.002182
2.099000,-0.003250,-0.024048,-1.001297
2.199000,-0.004013,-0.023712,-0.995880
2.299000,-0.002121,-0.024155,-1.001221
2.399000,-0.003540,-0.023270,-0.997559
2.499000,-0.004532,-0.023972,-0.994980
2.599000,-0.003342,-0.022614,-1.002716
2.699000,-0.003143,-0.023651,-1.000641
2.799000,-0.003464,-0.021057,-0.993591
2.899000,-0.001556,-0.024628,-1.000244
2.999000,-0.002045,-0.023911,-0.997818
3.099000,-0.003403,-0.024704,-0.997116
3.199000,-0.003601,-0.023239,-0.999786
3.299000,-0.003952,-0.022491,-1.000031
3.399000,-0.003845,-0.022949,-0.995911
3.499000,-0.002548,-0.025177,-1.000687
3.599000,-0.002991,-0.023224,-0.994568
3.698000,-0.003082,-0.024628,-0.996536
3.799000,-0.002686,-0.024048,-0.999863
3.898000,-0.002518,-0.022614,-0.996216
3.998000,-0.004166,-0.023727,-0.994064
4.099000,-0.002335,-0.024307,-1.001572
4.198000,-0.002991,-0.022018,-0.999130
4.298000,-0.004837,-0.025360,-0.995941
4.398000,-0.001419,-0.025497,-0.998550
4.504000,-0.002243,-0.022675,-0.997528
4.598000,-0.003387,-0.022339,-0.997620
4.698000,-0.003525,-0.024445,-1.000076
4.798000,-0.001923,-0.023743,-1.001175
4.898000,-0.003998,-0.023956,-0.996384
4.998000,-0.002472,-0.023911,-0.999542
5.098000,-0.002853,-0.022217,-0.999405
5.198000,-0.002243,-0.023163,-0.996368
5.298000,-0.003281,-0.023346,-0.998779
5.398000,-0.002319,-0.022995,-1.001617
5.498000,-0.002121,-0.024017,-0.994415
5.598000,-0.001297,-0.024460,-1.002167
5.699000,-0.003281,-0.022949,-1.000687
5.798000,-0.002670,-0.023788,-1.000061
5.898000,-0.000717,-0.022858,-0.997543
5.998000,-0.001862,-0.022644,-1.000595
6.097000,-0.002792,-0.024216,-1.000732
6.198000,-0.002579,-0.023880,-1.003677
6.297000,-0.003433,-0.020950,-0.998215
6.397000,-0.001663,-0.021515,-0.997345
6.497000,-0.003235,-0.025528,-0.995316
6.597000,-0.004593,-0.023758,-1.001297
6.697000,-0.002777,-0.022614,-1.000854
6.797000,-0.002731,-0.025620,-1.000549
6.897000,-0.004776,-0.023544,-0.995193
6.997000,-0.002762,-0.023911,-0.997879
7.097000,-0.002029,-0.024475,-1.000809
7.197000,-0.003326,-0.022476,-0.999329
7.297000,-0.003830,-0.022369,-0.999191
7.397000,-0.000854,-0.025452,-0.998001
7.497000,-0.002945,-0.024231,-0.995529
7.597000,-0.002167,-0.023956,-1.000259
7.700000,-0.003464,-0.022415,-1.000366
7.797000,-0.004471,-0.023102,-0.997467
7.897000,-0.001923,-0.023865,-0.997574
7.997000,-0.003326,-0.023483,-0.998901
8.097000,-0.002472,-0.023041,-0.997208
8.197000,-0.002792,-0.024002,-1.003510
8.297000,-0.002487,-0.024384,-0.998535
8.397000,-0.003342,-0.023056,-0.995209
8.497000,-0.002380,-0.024582,-1.000458
8.597000,-0.003571,-0.024200,-1.000504
8.696000,-0.003311,-0.021881,-1.001480
8.796000,-0.005066,-0.022873,-1.003250
8.896000,-0.001740,-0.022720,-0.995499
8.996000,-0.003479,-0.023621,-0.997375
9.096000,-0.002258,-0.024063,-1.003677
9.196000,-0.003036,-0.023178,-1.001007
9.300000,-0.003571,-0.023590,-0.998550
9.396000,-0.004425,-0.023773,-1.000061
9.496000,-0.003464,-0.025787,-0.995163
9.596000,-0.001740,-0.023254,-0.997177
9.700000,-0.002213,-0.024750,-1.003418
9.796000,-0.003510,-0.022507,-1.001633
9.896000,-0.003265,-0.023697,-0.998734
9.996000,-0.001282,-0.023209,-0.996338
10.096000,-0.001389,-0.024200,-0.992386
10.192000,-0.005432,-0.026138,-1.001785
10.292000,-0.002197,-0.023392,-1.003693
10.393000,-0.004150,-0.022644,-0.998932
10.493000,-0.003525,-0.022888,-0.995956
10.593000,-0.002426,-0.024734,-0.999390
10.693000,-0.002594,-0.022064,-0.999786
10.793000,-0.003510,-0.022507,-0.998978
10.893000,-0.002884,-0.021545,-0.998138
10.993000,-0.000946,-0.024078,-0.996613
11.093000,-0.002045,-0.025070,-0.997253
11.194000,-0.004456,-0.024643,-1.000015
11.294000,-0.003387,-0.022568,-0.997253
11.394000,-0.002228,-0.022964,-0.996735
11.496000,-0.002380,-0.023956,-0.998978
